Название,Описание,Дата публикации,URL,Имя файла
Структурные продукты на российском рынке: новый вид инвестиций и диверсификации портфеля,Структурные продукты: Настолько ли страшны как кажутся?,05.06.2025,https://school.moex.com/articles/strukturnye-produkty-na-rossijskom-rynke-novyj-vid-investicij-i-diversifikacii-portfelya,Структурные продукты на российском рынке новый вид_strukturnye-produkty-na-rossijskom-rynke-novyj-vid-investicij-i-diversifikacii-portfelya.html
Как хеджировать риски: эффективные методы для российских инвесторов,В данной статье расскажем о методах снижения риска при инвестировании,21.04.2025,https://school.moex.com/articles/kak-hedzhirovat-riski-effektivnye-metody-dlya-rossijskih-investorov,Как хеджировать риски эффективные методы для росси_kak-hedzhirovat-riski-effektivnye-metody-dlya-rossijskih-investorov.html
Самые удачные вложения 2024,В этой статье рассмотрим лидеров доходности рынка за 2024 год,04.03.2025,https://school.moex.com/articles/samye-udachnye-vlozheniya-2024,Самые удачные вложения 2024_samye-udachnye-vlozheniya-2024.html
Новогоднее ралли на фондовом рынке России,"Поможем понять, почему в конце года акции могут расти, какие факторы на это влияют и как использовать сезонные тенденции с умом, избегая излишнего оптимизма.",28.02.2025,https://school.moex.com/articles/novogodnee-ralli-na-fondovom-rynke-rossii,Новогоднее ралли на фондовом рынке России_novogodnee-ralli-na-fondovom-rynke-rossii.html
Ошибки при инвестировании на акциях,"Расскажем, какие случаются ошибки инвестирования, и как можно избежать их.",26.12.2024,https://school.moex.com/articles/oshibki-pri-investirovanii-na-akciyah,Ошибки при инвестировании на акциях_oshibki-pri-investirovanii-na-akciyah.html
Инвестиционные фонды: начни зарабатывать на ПИФах,"ПИФы подходят как для начинающих инвесторов, так и для опытных. Они позволяют диверсифицировать риски и снизить порог входа в сложные финансовые инструменты.",06.12.2024,https://school.moex.com/articles/investicionnye-fondy-nachni-zarabatyvat-na-pifah,Инвестиционные фонды начни зарабатывать на ПИФах_investicionnye-fondy-nachni-zarabatyvat-na-pifah.html
"Как инвестировать в золото: золотые монеты, слитки, биржевые активы","Спрос на драгоценные металлы стабильно растет, поскольку они помогают снизить риски и защитить капитал, особенно в условиях экономической нестабильности.",06.11.2024,https://school.moex.com/articles/kak-investirovat-v-zoloto-zolotye-monety-slitki-birzhevye-aktivy,Как инвестировать в золото золотые монеты слитки б_kak-investirovat-v-zoloto-zolotye-monety-slitki-birzhevye-aktivy.html
Что такое блокчейн. История криптовалюты,"Криптовалюта — один из видов цифровой, виртуальной валюты. Ее эмиссия основана на различных криптографических методах, а ее функционирование основано на технологии «блокчейн».",04.04.2024,https://school.moex.com/articles/chto-takoe-blokchein,Что такое блокчейн История криптовалюты_chto-takoe-blokchein.html
Рассказываем просто о сложном проценте,"Сложный процент — это важный инструмент, который при грамотном подходе будет работать на инвестора, увеличивая его благосостояние и финансовый результат.",28.03.2024,https://school.moex.com/articles/rasskazyvaem-prosto-o-slozhnom-procente,Рассказываем просто о сложном проценте_rasskazyvaem-prosto-o-slozhnom-procente.html
Что такое фьючерсы и как они устроены,"Фьючерсные контракты – уникальный инструмент, который позволяет торговать акциями, валютами, индексами и даже ценой недвижимости в Москве. Как устроены фьючерсы и какие возможности они дают инвесторам?",21.03.2024,https://school.moex.com/articles/chto-takoe-fyuchersy-i-kak-oni-ustroeny,Что такое фьючерсы и как они устроены_chto-takoe-fyuchersy-i-kak-oni-ustroeny.html
"Опционы – сложно, рискованно, но очень эффективно","Если у вас уже есть опыт торговли акциями, облигациями и фьючерсами, риск-аппетит и готовность разбираться, опционы могут дать вам множество возможностей.",06.03.2024,https://school.moex.com/articles/opciony-slozhno-riskovanno-no-ohen-effektivno,Опционы  сложно рискованно но очень эффективно_opciony-slozhno-riskovanno-no-ohen-effektivno.html
