Название,Дата публикации,URL,Имя файла,Статус,Метод
Что такое НПФ,9.09.2025,https://alfabank.ru/help/articles/investments/chto-takoe-npf/,Что такое НПФ_article.html,success,playwright
Переводим с «инвестиционного» на русский,23.07.2025,https://alfabank.ru/help/articles/investments/slovar-investora/,Переводим с инвестиционного на русский_article.html,success,playwright
Сколько брокерских счетов можно открыть,8.08.2025,https://alfabank.ru/help/articles/investments/mozhno-li-otkryt-neskolko-brokerskikh-schetov/,Сколько брокерских счетов можно открыть_article.html,success,playwright
Чем спот отличается от фьючерсов,8.08.2025,https://alfabank.ru/help/articles/investments/chem-spot-otlichaetsya-ot-fyuchersov/,Чем спот отличается от фьючерсов_article.html,success,playwright
Что такое IBAN в банковских реквизитах,8.08.2025,https://alfabank.ru/help/articles/investments/iban-eto-chto-v-bankovskih-rekvizitah/,Что такое IBAN в банковских реквизитах_article.html,success,playwright
Что такое тейк-профит в трейдинге,8.08.2025,https://alfabank.ru/help/articles/investments/chto-takoe-tejk-profit-v-trejdinge/,Что такое тейк-профит в трейдинге_article.html,success,playwright
Что такое долгосрочные инвестиции,8.08.2025,https://alfabank.ru/help/articles/investments/dolgosrochnoe-investirovanie/,Что такое долгосрочные инвестиции_article.html,success,playwright
Как измеряется экономический рост страны,20.04.2025,https://alfabank.ru/help/articles/investments/kak-izmeryaetsya-ekonomicheskij-rost-strany/,Как измеряется экономический рост страны_article.html,success,playwright
"Депозитарий: что это простыми словами, зачем нужен и как работает",28.12.2024,https://alfabank.ru/help/articles/investments/kto-takoj-depozitarij/,Депозитарий что это простыми словами зачем нужен и_article.html,success,playwright
Дефицит бюджета: что это и почему он возникает,28.12.2024,https://alfabank.ru/help/articles/investments/defitsit-byudzheta-eto/,Дефицит бюджета что это и почему он возникает_article.html,success,playwright
Может ли нефть закончиться: сколько её осталось и что будет дальше,28.12.2024,https://alfabank.ru/help/articles/investments/kogda-zakonchitsya-neft/,Может ли нефть закончиться сколько её осталось и ч_article.html,success,playwright
Что такое тикер на бирже простыми словами,15.09.2024,https://alfabank.ru/help/articles/investments/chto-takoe-tiker/,Что такое тикер на бирже простыми словами_article.html,success,playwright
Что такое Equity на бирже,28.12.2024,https://alfabank.ru/help/articles/investments/chto-takoe-ekviti-na-birzhe/,Что такое Equity на бирже_article.html,success,playwright
Японские свечи: чтение и анализ для начинающих,15.09.2024,https://alfabank.ru/help/articles/investments/yaponskie-svechi-analiz/,Японские свечи чтение и анализ для начинающих_article.html,success,playwright
Что такое профит на бирже,25.12.2024,https://alfabank.ru/help/articles/investments/chto-takoe-profit-na-birzhe/,Что такое профит на бирже_article.html,success,playwright
